MolecularWeight,XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount,Volume3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureCount3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,FeatureCationCount3D,FeatureRingCount3D,FeatureHydrophobeCount3D,ConformerModelRMSD3D,EffectiveRotorCount3D,ConformerCount3D
416.4,0.3,416.10962484,416.10962484,99.8,770.0,0.0,2.0,10.0,3.0,30.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,296.7,10.74,6.09,1.01,12.0,3.0,1.0,1.0,3.0,4.0,0.0,0.8,3.8,6.0
238.16,-0.5,238.0338193,238.0338193,121.0,390.0,0.0,1.0,6.0,2.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,165.9,4.99,2.38,1.39,10.0,6.0,1.0,1.0,0.0,2.0,0.0,0.6,3.6,10.0
505.6,2.9,505.22465702,505.22465702,140.0,745.0,0.0,3.0,8.0,12.0,35.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,389.5,14.54,5.94,3.14,13.0,5.0,3.0,0.0,1.0,3.0,1.0,1.2,14.0,10.0
456.6,2.4,456.19435995,456.19435995,119.0,749.0,0.0,3.0,7.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,346.7,21.73,3.82,2.09,15.0,4.0,3.0,0.0,3.0,4.0,1.0,1.0,8.2,10.0
229.26,-0.9,229.05211239,229.05211239,113.0,331.0,0.0,2.0,4.0,2.0,15.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,163.5,7.0,1.91,0.87,8.0,3.0,3.0,0.0,0.0,2.0,0.0,0.6,3.0,10.0
199.29,0.3,199.168462302,199.168462302,26.8,184.0,0.0,0.0,2.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,163.6,6.42,1.68,1.39,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,5.2,10.0
401.4,2.4,401.10454189,401.10454189,138.0,681.0,0.0,2.0,7.0,4.0,28.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,297.2,9.41,3.98,1.73,12.0,5.0,1.0,1.0,0.0,4.0,1.0,0.8,5.8,10.0
501.5,1.8,501.19884999,501.19884999,167.0,706.0,0.0,1.0,12.0,15.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,373.3,10.84,4.82,2.18,13.0,4.0,1.0,0.0,4.0,2.0,2.0,1.2,15.0,10.0
201.25,2.5,201.03606841,201.03606841,69.8,212.0,0.0,1.0,3.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,152.3,8.57,1.48,0.61,6.0,1.0,1.0,0.0,1.0,3.0,0.0,0.4,1.0,2.0
287.4,5.1,287.167399674,287.167399674,3.2,342.0,0.0,0.0,1.0,5.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,245.9,12.55,3.5,1.14,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.8,5.0,10.0
